id,music_id,user_id,created_at,updated_at
16,7,2,2022-07-27 06:44:13.026817,2022-07-27 06:44:13.026817
18,97,2,2022-07-27 06:53:45.944771,2022-07-27 06:53:45.944771
19,98,2,2022-07-27 06:53:46.741229,2022-07-27 06:53:46.741229
41,190,2,2022-07-28 15:28:44.511090,2022-07-28 15:28:44.511090
42,1,1,2022-08-13 06:49:22.526917,2022-08-13 06:49:22.526917
43,2,1,2022-08-13 06:49:23.527653,2022-08-13 06:49:23.527653
44,3,1,2022-08-13 06:49:24.182138,2022-08-13 06:49:24.182138
45,4,1,2022-08-13 06:49:24.789351,2022-08-13 06:49:24.789351
